description,aggregation_type,mean,min,max,median,p25,p30,p75,p95,p99,count
BIOMD0000000001,model,-2.9070751459891084e+27,-1.9462140895796838e+30,1000000.0,18.3515918466516,0.9934394112116758,1.2903854412747293,838835.1844948948,1000000.0,1000000.0,1200
BIOMD0000000001,BLL,-2.1396182933998607e+28,-1.9462140895796838e+30,1000000.0,1000000.0,1.4693715209964144,1.5407485286397435,1000000.0,1000000.0,1000000.0,100
BIOMD0000000001,IL,-3.6885852844050693e+18,-4.0348119757501104e+19,1000000.0,9.514538758339722,-5.26753884998196e+18,-4.852489323979311e+18,29.09836312228363,1000000.0,1000000.0,100
BIOMD0000000001,AL,-1.1416539916763326e+21,-1.248788469482402e+22,1000000.0,46.64362011069488,-1.630357468396742e+21,-1.501895376762903e+21,93.8292606622642,1000000.0,1000000.0,100
BIOMD0000000001,A,7.01994168740284,0.5443009776502358,40.316355639483945,2.9022719790726446,2.827748076880331,2.842236113396278,6.046820323769278,25.38691897401546,37.17211813206551,100
BIOMD0000000001,BL,-7.10383388164724e+22,-7.770656344582713e+23,1000000.0,46.13336735623922,-1.0144234380388757e+23,-9.344891584976014e+22,92.70846176125585,1000000.0,1000000.0,100
BIOMD0000000001,B,22.74158775961327,1.3867007664777866,88.28539158255465,1.4603203544601666,1.4222169286398585,1.4296221517669627,60.029611569097284,80.81411941129608,86.71188391962197,100
BIOMD0000000001,DLL,-2.394185291144841e+21,-1.926246406044332e+23,1000000.0,1000000.0,0.9936141425761393,0.9937765887160511,1000000.0,1000000.0,1000000.0,100
BIOMD0000000001,D,34175.57210666534,0.004051883248172211,117884.01890271649,0.004196435715244681,0.004120432909193383,0.004135521365549685,109700.65701556698,117513.5744995535,117820.18613612068,100
BIOMD0000000001,ILL,-8.962931675580462e+25,-8.152265992245441e+27,1000000.0,1000000.0,1.0368273207738656,1.0430428046031248,1000000.0,1000000.0,1000000.0,100
BIOMD0000000001,DL,-31443723205331.844,-355101431103851.7,1000000.0,6.087642902285419,-44788237030355.875,-41256612806578.9,26.234702218359015,1000000.0,1000000.0,100
BIOMD0000000001,I,2099.9618271969143,1.2495439358943026,12183.056093998282,249.58688867941783,249.06256108308116,249.16803173415627,1932.8330321183375,10777.81934449464,11863.39752230906,100
BIOMD0000000001,ALL,-1.3399014923248173e+28,-1.218784799274398e+30,1000000.0,1000000.0,1.4503526122461097,1.5188541841920828,1000000.0,1000000.0,1000000.0,100
BIOMD0000000002,model,93.9180493578971,0.2634527816167789,1098.0021984591892,14.397919839854724,2.3601752359248924,2.7392830788111224,33.78008518120473,1095.9949045317737,1097.9999860659962,1300
BIOMD0000000002,BLL,29.497126700823163,1.126155460134386,33.692368751975515,33.691473630302674,32.84344375841324,33.47988175369694,33.692273739468995,33.69234331866101,33.6923647855445,100
BIOMD0000000002,IL,10.644164862553598,0.4190628702135428,12.15460094843659,12.154278420493057,11.850097618606517,12.078391309528426,12.154565723172219,12.154591143209077,12.154599186563845,100
BIOMD0000000002,AL,12.605902656043238,0.49223008935630524,14.397947015406631,14.397562991802978,14.035247832019653,14.307162622814447,14.397905205341726,14.397935426568056,14.39794496324614,100
BIOMD0000000002,A,71.19159025359397,2.774788132644989,81.31031710731894,81.3081535806867,79.26242715410235,80.79772545936224,81.31008471362713,81.31025376464245,81.3103066250978,100
