description,aggregation_type,mean,min,max,median,p25,p30,p75,p95,p99,count
BIOMD0000000539,model,57.893484076437765,2.9723299833375704e-05,9300.94625705197,0.28633471811096045,0.006292023894160747,0.04078065476833207,1.08779458302089,21.180077581052878,2102.992028468392,600
BIOMD0000000539,A,1.3990050584014246,0.753692499204462,2.848129055308731,1.0372379803808491,0.8962691782432023,0.9711217648318601,1.9641783179191146,2.382334463259218,2.8215139642407383,100
BIOMD0000000539,AgB,9.304444638341835,0.42470203812663804,44.47545153775935,2.5882151500308246,0.8891515430903898,1.158158131677967,12.961866615417625,36.58944583730286,39.45758960136926,100
BIOMD0000000539,gB,1.0783488035343864,0.2799228597652318,10.024129324726314,0.31161177783947075,0.28428245554190007,0.2863727571660516,0.47916330228297965,7.431669316361262,8.425741212803011,100
BIOMD0000000539,rB,0.1521272967541703,0.03818031378779748,1.159496908952328,0.09692812010002902,0.048427625006965416,0.05354067644926077,0.20436160797228814,0.3437518604450204,0.7194087068900917,100
BIOMD0000000539,B,335.3566577930071,0.0021331959204071473,9300.94625705197,0.004017640954292449,0.002592395691057584,0.0027806360736834135,0.01667132483176643,2936.406345427937,3666.959250246076,100
BIOMD0000000539,AB,0.0703208685877113,2.9723299833375704e-05,5.560923158005097,0.0004544247002869193,0.0004393960600123536,0.0004401638289745001,0.0006778286199601151,0.04768308561303652,0.976460901780902,100
BIOMD0000000540,model,0.3863992121366076,-415.9106101487932,651.243455278903,0.0049776154930831875,-0.03103112055223649,-0.015457657653053961,0.15651410221400866,2.026540684188668,13.500538862221811,2100
BIOMD0000000540,s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000540,s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000540,s3,0.17036181506104245,0.0005384069093131589,0.34844144037967467,0.1591401907014376,0.12460972918369746,0.1302627011651631,0.21123243814848905,0.27456005269838957,0.29774484813603025,100
BIOMD0000000540,s4,4.8721384999259705,0.9975825150510098,15.30529210176701,3.5912152482037527,1.0076764030485117,1.0096848343463576,7.998020594546804,13.514845506497009,14.93017603021333,100
BIOMD0000000540,s5,1.0512897401013845,0.19350415144828526,1.5532710573652952,1.0194638832439973,0.8699658098574186,0.8962520141047063,1.2309959749594706,1.475990697706091,1.5371744260282632,100
BIOMD0000000540,s6,0.04870855676279228,0.0,0.1684894885866004,0.03641396009039189,0.025852819144031276,0.02744479024350132,0.05989050133187876,0.12228888869882927,0.15665507615772525,100
BIOMD0000000540,s7,0.23375041340771457,0.09549284559623289,0.7919245094830947,0.1697040154814564,0.12292443256733081,0.13041721247843754,0.2812299419581828,0.5941451485955659,0.7794993233338693,100
BIOMD0000000540,s8,0.013259325629558626,0.0002592530759607662,0.10792645498587516,0.00909819468833126,0.007425955672729832,0.007709352748743663,0.011742329880242,0.028815649345792085,0.09866485705100374,100
BIOMD0000000540,s9,0.2579592168003191,0.09722768565321284,0.43790032396924844,0.24156160358841494,0.19830739907246342,0.2059952190155241,0.31261686115657256,0.4025545949481766,0.42680201092772546,100
BIOMD0000000540,s10,0.038823329468610154,0.01783525529739888,0.18389524632705034,0.02986578141361023,0.02245021336440748,0.023675431040195243,0.0445955501373196,0.08474877134058117,0.17706889277006144,100
BIOMD0000000540,s11,0.038215742848171974,0.0002033854455929578,0.900657680631263,0.0003066617657966769,0.0002661667965909106,0.00027758632135346887,0.03018320177402674,0.1647650490415864,0.44392088852416073,100
BIOMD0000000540,s12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000540,s13,0.033226038670069014,1.5129232999415675e-16,0.2223249573677835,0.027911773299021874,0.02221065521946543,0.023156636193168444,0.037549813312779096,0.05188005930330911,0.10463057367090485,100
BIOMD0000000540,s14,-0.0934794531365448,-7.257816257129466,1.9735457758683201,-0.015268969668549504,-0.02339636490533179,-0.021417135558149007,-0.011081062391185427,-0.009087134397985466,0.9365982560243142,100
BIOMD0000000540,s15,0.2962211592479725,-12.952630174429796,58.11272703767591,-0.21051985763583198,-0.414386948301815,-0.3471508231392291,-0.14110172173435634,2.6285757006328234,9.21456458089115,100
BIOMD0000000540,s16,-4.085926918297958,-415.9106101487932,226.95911763831515,-2.945619829178572,-5.851001330153786,-4.886957840116797,-1.2327594757437437,26.281970380762164,90.53224084648267,100
BIOMD0000000540,s17,0.0018015891748006433,-3.05402272064088,7.949099036991544,-0.04393589614280295,-0.0866426507956204,-0.07254042065729246,-0.02942977873225857,0.4229490849966281,1.7892238464324013,100
BIOMD0000000540,s18,-0.778500700764643,-91.53342563392034,36.910769894845394,-0.5582323483066989,-1.1422004849432057,-0.9401007837083875,1.033339849020666,4.653348697071771,15.574215843446249,100
BIOMD0000000540,s20,-0.15108291065329124,-7.7595372683149195,0.0,-0.04532239848315795,-0.07771336299069564,-0.06799472456982976,-0.031988989898393855,-0.025894589553675938,-0.024696964662741867,100
BIOMD0000000540,s21,6.366810153311102,-14.531454777132296,651.243455278903,-0.29941889678400346,-0.5992506287122948,-0.5136986507074398,-0.14716853129541893,3.592765578903156,20.283994184449462,100
BIOMD0000000540,s19,-0.19919214268831006,-14.386724427323513,2.3683880064838125,-0.039664199855642256,-0.07306752115704804,-0.06253488670081567,-0.02722013451606283,-0.021758885509139868,0.8107691770806217,100
BIOMD0000000541,model,0.023260235440019247,-4.024413980948327,30.119663225672237,0.0006997440488558807,1.2720759828150077e-16,2.0937380857062182e-16,0.008571507436973139,0.07023086218431057,0.23543439412204273,3000
BIOMD0000000541,s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000541,s3,0.005780809925100477,0.0,0.01169209451122427,0.004631245502915191,1.4133116564630818e-16,5.211422733717501e-16,0.009978642951837823,0.011303899416884913,0.011612337403904691,100
BIOMD0000000541,s4,0.00806771270859762,0.006043141543336885,0.00865032380088266,0.008219571411650748,0.007932907044928416,0.008020707904389095,0.008494769773645276,0.008644219633353573,0.008650009228610762,100
BIOMD0000000541,s5,0.008321485741824173,0.0,0.015061401986312041,0.010922351918259396,1.8904577556723345e-16,2.4490971630422593e-16,0.011569426632258758,0.014921376172649674,0.015033186997113897,100
BIOMD0000000541,s6,5.145328808655538e-17,0.0,2.585140285217158e-16,0.0,0.0,0.0,1.2822519090557e-16,1.4009176814323255e-16,1.4380619434498484e-16,100
BIOMD0000000541,s7,0.007399757896923273,0.0,0.015916604871116107,0.008350884666206846,1.6916167232181665e-16,2.6496528333031023e-16,0.009579844013464912,0.015916604871116107,0.015916604871116107,100
BIOMD0000000541,s8,0.0014775013561819901,0.0,0.0023846582858120524,0.001843602782074398,2.0527864402643005e-16,7.006055558568577e-16,0.002303101312226106,0.0023678881009187264,0.0023812852743861773,100
BIOMD0000000541,s9,0.006477603082151264,0.0,0.013685255355881996,0.007975686484446572,1.189961608800359e-16,1.3107517616435816e-16,0.00840269194128296,0.013161050871837908,0.013577100820857568,100
BIOMD0000000541,s10,0.0013031680479136695,0.0,0.0025971031590617004,0.0004972682966566663,3.5270607236914916e-16,4.055311626314526e-16,0.0025162342948831205,0.002580516244118593,0.00259376874129006,100
BIOMD0000000541,s11,0.00020127302160718826,4.4901682258913e-05,0.003373251416686217,8.672638685292529e-05,5.893666237798361e-05,6.291959411326839e-05,0.0001683789439517711,0.0006299104918928043,0.0017462839542075935,100
BIOMD0000000541,s12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000541,s13,0.0012573910588278032,0.0008759066998536585,0.0013336096573125882,0.0013285913641102147,0.001229920221317864,0.0012652256945134548,0.0013309417630603501,0.0013334884812274531,0.0013336007816178016,100
BIOMD0000000541,s14,0.2142626668874807,-1.8131820083322803,20.62562168967369,0.0,-2.7545086539871536e-16,-1.500562221283635e-16,0.06714176348122068,0.3320511723045571,1.7328951711299414,100
BIOMD0000000541,s15,0.01140303054181897,0.0,0.02000330071962456,0.014301537305572482,3.071360200351247e-16,1.5912570942772177e-15,0.01812210267078182,0.02000330071962456,0.02000330071962456,100
BIOMD0000000541,s16,-0.01718728100799727,-0.030963491030717983,-0.0,-0.022484332614279963,-0.025409886619061198,-0.024765422080616523,-3.116211809420239e-16,0.0,0.0,100
BIOMD0000000541,s17,9.730517322027193e-17,0.0,9.009401399988216e-16,0.0,0.0,0.0,1.5276253867405323e-16,3.5000159378136e-16,5.441678445592899e-16,100
BIOMD0000000541,s18,0.3263353204184894,-1.8024225426866178,30.119663225672237,0.046894465148473286,1.4670949551552123e-16,1.9351681075142553e-16,0.0668770497721892,0.3404779625396866,1.8948588994905158,100
BIOMD0000000541,s21,-0.011357646625097601,-3.4195115974336026,3.322621534829209,0.0,-0.06677905225585361,-0.033108941417566276,2.5661372587911553e-16,0.3093920916024249,1.140145985003044,100
BIOMD0000000541,s19,0.0017679913400633685,-4.024413980948327,3.975880446214968,5.962139942848086e-17,-0.0491132731271907,-0.035983886424078,0.07922217009933091,0.36747138664865137,1.3570949450290049,100
BIOMD0000000541,s23,0.021576574554368944,0.00907800801564535,0.07817023467402183,0.010891468695014353,0.009676286127889261,0.00987558935342786,0.025065673579543195,0.07093469091148841,0.07696441631433198,100
BIOMD0000000541,s25,0.008294995119615343,0.0033849354058651526,0.053857267163410175,0.005398166884911738,0.003993303676261655,0.004186742732196885,0.009403622672787335,0.02120537087379984,0.03444599589484276,100
BIOMD0000000541,s26,0.001263887884454242,0.00035330108719628045,0.0016969770409633606,0.0014481970096017615,0.0009286889643299432,0.0011074329851123294,0.001624558004588938,0.0016935210787101204,0.0016967310454647036,100
BIOMD0000000541,s27,0.0007977097598731267,0.0005710804020512557,0.005675532898925302,0.0006571502025523885,0.0005948983350973037,0.0006049336844285115,0.0007466806990993985,0.001374062063921681,0.003297552304132057,100
BIOMD0000000541,s29,0.070289756400899,0.03694282751402668,0.11449605760744307,0.06755701254106528,0.04801979216890553,0.05120020481771748,0.09250646198768189,0.10665633061306308,0.11284549420390981,100
BIOMD0000000541,s31,0.021529576300567663,0.007011338436646087,0.04375063877418071,0.018862282551480487,0.01095258683031953,0.012144092015238788,0.031212758358316366,0.04223646661824016,0.043746990896905716,100
BIOMD0000000541,s33,0.0027246235213305514,0.0008729356061463485,0.00440660048582206,0.0026542100280859725,0.0015388079331725092,0.0017188703870656425,0.004027629646767022,0.004396584979493805,0.004405854673271507,100
BIOMD0000000541,s35,7.823696183989214e-06,3.0537640850381363e-06,9.630684062806867e-06,8.169499169195638e-06,6.9527884671761874e-06,7.2109004415414905e-06,9.21204854483913e-06,9.609941478967814e-06,9.626926892830173e-06,100
BIOMD0000000541,s36,0.002683534440350688,9.932973418051246e-05,0.1390869544654584,0.00020090035146266516,0.00012978410238928957,0.00013928135589637264,0.0004947088845950137,0.0058166978341643956,0.042540371574743566,100
BIOMD0000000541,s37,0.00012016443175039387,3.577335403179147e-05,0.0018599711687255823,5.362468762210731e-05,4.154025348683634e-05,4.318116342892006e-05,9.577516465019391e-05,0.0003769626445538817,0.0010152248633254583,100
BIOMD0000000541,s38,0.0030076326972984678,8.832585835646107e-05,0.12951046890302123,0.0002888288988255612,0.00014204418342490197,0.00015970913906797189,0.0009625335524787907,0.008505798605613093,0.04371385559800989,100
BIOMD0000000543,model,416820.723673,0.0,1000000.0,5.753840123734182,0.00929132794327942,0.030357456203401443,1000000.0,1000000.0,1000000.0,10500
BIOMD0000000543,species_17,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_67,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,s118,13764.02477969566,0.05723596086772651,1000000.0,0.3625697532549399,0.11763798387257766,0.14116305533464937,3.347094857882511,1504.1259043584453,327033.66619814653,100
BIOMD0000000543,s119,101032.63608999929,0.00022369873817204808,1000000.0,0.21587917244508292,0.13279384620290405,0.1580171553017099,67.69025054878912,1000000.0,1000000.0,100
BIOMD0000000543,s120,103590.12630042234,0.003968904473697282,1000000.0,0.20374481679295003,0.1093271288829631,0.11545324264954919,3.923714636304105,1000000.0,1000000.0,100
BIOMD0000000543,s122,118292.1337913293,4.935504642019769e-05,1000000.0,0.01042760434849132,0.00942891805006051,0.00971554330889737,42.51788949729151,1000000.0,1000000.0,100
BIOMD0000000543,s126,154615.89993050304,1.590010019500417e-06,1000000.0,0.2839536799911787,0.003646546754948516,0.008016005085048147,748.0518078982526,1000000.0,1000000.0,100
BIOMD0000000543,s135,140000.30823951386,4.210135740539001e-05,1000000.0,0.3023302535259333,0.010970045402469075,0.01105337871610943,374.0852554347932,1000000.0,1000000.0,100
BIOMD0000000543,species_3,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_5,3.0834725439380772,1.3056510274370767,3.230441636460287,3.1891154818893153,3.157149893928204,3.1660223750043026,3.2118890969355602,3.2270167767042004,3.229767169411402,100
BIOMD0000000543,species_6,0.0007550351368654502,0.0005278064306960231,0.007384070282937389,0.0005402912350074033,0.0005294864547861431,0.00053037867482041,0.0006194133642592609,0.0014811059799443864,0.003864344706751966,100
BIOMD0000000543,species_7,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_8,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_9,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_10,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_11,2.357022922600216e-07,2.3490509954626845e-07,2.3589382903266828e-07,2.357890223564361e-07,2.3568823617840096e-07,2.3570812155307185e-07,2.3586489098930372e-07,2.358925185655018e-07,2.3589375377360497e-07,100
BIOMD0000000543,species_12,14231.473026195054,0.0007900623832089061,1000000.0,0.005665918091089522,0.0012510917442188272,0.0015621387192287029,0.11576201766593253,340.6697055399162,398790.7047201213,100
BIOMD0000000543,species_13,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_14,103842.82020261325,0.004117223715601655,1000000.0,0.2060232858122112,0.10963479036064688,0.11574607895897242,3.7508641934505187,1000000.0,1000000.0,100
BIOMD0000000543,species_15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_18,43402.78326875486,0.00987561593775729,1000000.0,0.18850799409435182,0.03144226861981849,0.04209010405346064,6.111644466454656,72812.556043739,1000000.0,100
BIOMD0000000543,species_19,98281.14933728828,2.405808566933811e-06,1000000.0,6.0852832467433684e-05,1.4038935369990776e-05,1.8976584803540103e-05,0.24529657353073278,1000000.0,1000000.0,100
BIOMD0000000543,species_20,1.301291575711785e-06,1.3007293459565972e-06,1.305608823578405e-06,1.3007478251031388e-06,1.3007421363408739e-06,1.3007436447871244e-06,1.3011853712441821e-06,1.304010216563791e-06,1.3052468585242297e-06,100
BIOMD0000000543,species_21,43403.56119464044,0.010000513194280983,1000000.0,0.18981532182348337,0.031731064734549376,0.04245765428730316,6.135234741626979,72833.68701433312,1000000.0,100
BIOMD0000000543,species_22,140693.99367960764,0.00015624165442689546,1000000.0,0.30299181665391106,0.011018073537905102,0.011095025702545403,384.7385211094663,1000000.0,1000000.0,100
BIOMD0000000543,species_31,105168.2465564085,1.3267306728057313e-05,1000000.0,0.00011041336218016343,3.3311876516945336e-05,3.958840918260223e-05,1.6813931532499704,1000000.0,1000000.0,100
BIOMD0000000543,species_32,0.1321900119651147,0.11327724217854974,0.13494009145048474,0.13487421341536948,0.13319882483711434,0.13403151296336702,0.134937716136099,0.13494000575629284,0.1349400785037486,100
BIOMD0000000543,species_33,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_34,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_35,20.811456380571386,0.33098200041516296,31.434621081846082,28.22616828163575,7.7104108479433116,12.15968788110009,31.30644881103999,31.429978290463808,31.433919291010014,100
BIOMD0000000543,species_36,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_37,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000543,species_39,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_40,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
BIOMD0000000543,species_42,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_43,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
BIOMD0000000543,species_44,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,100
